"year_month","zip_code","accident_count","light_signal_based_complaint_open_less_than_1_week","road_infra_based_complaint_open_less_than_1_month","road_infra_based_complaint_open_less_than_1_week","light_signal_based_complaint_open_less_than_1_month","light_signal_based_complaint_open_a_month_or_more","road_infra_based_complaint_open_a_month_or_more","dep_infra_based_complaint_open_less_than_1_week","dep_infra_based_complaint_open_less_than_1_month","dep_infra_based_complaint_open_a_month_or_more"
2019-01-01,"10451",80,1,1,56,0,0,0,0,0,0
2019-01-01,"10452",53,10,1,34,1,0,0,0,0,0
2019-01-01,"10453",57,4,1,15,1,2,0,0,0,0
2019-01-01,"10454",84,2,0,27,0,1,0,0,0,0
2019-01-01,"10455",70,7,1,14,1,0,0,0,0,0
2019-01-01,"10456",78,11,3,16,0,2,0,0,0,0
2019-01-01,"10457",86,6,0,20,1,1,0,0,0,0
2019-01-01,"10458",94,6,3,30,1,0,0,0,0,0
2019-01-01,"10459",60,18,1,20,1,2,0,0,0,0
2019-01-01,"10460",103,15,1,23,2,1,0,0,0,0
2019-01-01,"10461",105,21,2,30,0,5,0,0,0,0
2019-01-01,"10462",90,31,3,25,1,3,0,0,0,0
2019-01-01,"10463",64,10,6,44,2,4,0,0,0,0
2019-01-01,"10464",9,6,0,9,1,0,0,0,0,0
2019-01-01,"10465",58,22,0,33,1,4,0,0,0,0
2019-01-01,"10466",95,16,0,40,0,1,0,0,0,0
2019-01-01,"10467",108,14,6,31,4,6,0,0,0,0
2019-01-01,"10468",71,14,3,25,3,2,0,0,0,0
2019-01-01,"10469",99,42,3,58,3,8,0,0,0,0
2019-01-01,"10470",37,2,0,8,0,1,0,0,0,0
2019-01-01,"10471",28,3,1,62,2,1,0,0,0,0
2019-01-01,"10472",73,30,4,36,1,12,0,0,0,0
2019-01-01,"10473",54,25,2,32,1,4,0,0,0,0
2019-01-01,"10474",52,16,0,17,2,3,0,0,0,0
2019-01-01,"10475",60,11,0,5,1,2,0,0,0,0
2019-01-01,"11201",148,61,4,71,1,3,0,0,0,0
2019-01-01,"11203",143,42,1,29,7,2,0,0,0,0
2019-01-01,"11204",71,59,1,23,2,2,0,0,0,0
2019-01-01,"11205",82,36,0,38,1,1,0,0,0,0
2019-01-01,"11206",119,53,4,64,0,5,1,0,0,0
2019-01-01,"11207",224,67,4,98,10,5,0,0,0,0
